TIMEHOME
"$65,000-$69,999",68.9063,59.5573,74.2,79.9607
"$70,000-$79,999",45.3333,67.4796,40.2,78.152
"$75,000-$79,999",60.2174,71.7206,57,67.8952
"$80,000+",64.7661,64.0648,46.2609,81.0437
TIMEWORK
,Female,Male
,Worker,Worker
Total,290.3191,336.0845
Income Level,"Female, Worker","Male, Worker"
"Less Than $5,000",285.3913,317.9615
"$5,000- $9,999",275.1429,316.3235
"$10,000-$14,999",304.7115,285.281
"$15,000-$19,999",306.6009,318.4162
"$20,000-$24,999",314.8696,323.8246
"$25,000-$29,999",260.7184,329.9488
"$30,000-$34,999",270.7023,324.5046
"$35,000-$39,999",295.471,346.4246
"$40,000-$44,999",303.5393,335.0704
"$45,000-$49,999",296.362,352.3139
"$50,000-$54,999",287.6293,358.6463
"$55,000-$59,999",294.6733,320.345
"$60,000-$64,999",274.4766,335.2214
"$65,000-$69,999",258.5038,342.7416
"$70,000-$79,999",315.2551,330.4
"$75,000-$79,999",306.3235,368.3714
"$80,000+",295.6698,348.7775
